"ID"	"Expense Euros"	"Expense Dollars"	"Description"	"Date"		"Category"	"Type"	"Trip"
586		"21.85"	"Shogun sushi : restaurant"	25/08/2020				
587		7	"Café "					
588		"12.40"	"RTC : Ticket pour le bus"	26/08/2020				
589								
590								
591								
592								
593								
594								
595								
596								
597								
598								
599								
600								
601								
602								
603								
604								
605								
606								
607								
608								
609								
610								
611								
612								
613								
614								
615								
616								
617								
618								
619								
620								
621								
622								
623								
